CALL_OI,CALL_CHNG IN OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID QTY,CALL_BID,CALL_ASK,CALL_ASK QTY,STRIKE,PUT_BID QTY,PUT-BID,PUT_ASK,PUT_ASK QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG IN OI,PUT_OI
123,-1,33,-,"1,242.30",-96.7,75,"1,320.25","1,433.55",75,"24,100.00",450,2.5,2.65,"1,950",-0.65,2.65,19.7,"2,15,431","9,603","19,836"
24,14,39,-,"1,327.70",22.2,450,"1,267.50","1,383.70",450,"24,150.00","1,800",2.75,2.9,"1,650",-0.6,2.9,19.31,"68,998","2,331","3,499"
195,22,82,-,"1,270.00",23.85,150,"1,218.65","1,280.00",225,"24,200.00","19,500",3,3.25,150,-0.6,3.25,18.97,"2,39,199","21,392","37,694"
12,3,36,-,"1,094.50",-110,150,"1,203.55","1,284.05",150,"24,250.00","1,800",3.2,3.4,"1,650",-0.75,3.4,18.33,"1,12,918","-3,204","3,456"
201,-43,177,-,"1,177.40",43,150,"1,119.10","1,187.00",75,"24,300.00","1,125",3.5,3.7,"3,150",-0.95,3.6,18.02,"2,08,789","14,413","27,992"
17,5,37,-,"1,038.50",-64,150,"1,069.55","1,184.75",150,"24,350.00",75,4,4.2,"1,725",-0.9,4.2,17.7,"71,586","2,135","4,152"
210,-23,302,-,"1,078.20",39.25,75,"1,075.00","1,085.75",75,"24,400.00",75,4.4,4.65,750,-1.15,4.4,17.33,"2,28,811","9,997","24,240"
21,-,60,-,"1,011.05",-15.4,75,"1,014.85","1,041.20",75,"24,450.00","18,900",5,5.15,525,-1.25,5,16.82,"1,06,568","2,866","5,348"
"2,292",-150,"1,200",-,980.85,32.15,150,976.25,986.8,225,"24,500.00","2,250",5.4,5.7,225,-1.7,5.4,16.34,"5,20,071","20,950","77,636"
5,2,25,-,853.3,-51.95,150,908.75,938.3,75,"24,550.00",150,5.85,6.25,150,-1.65,6.2,15.98,"1,20,774","1,788","5,488"
293,2,399,-,880,35.25,75,877.05,898.95,150,"24,600.00","2,550",6.6,6.8,"1,950",-1.7,7.1,15.5,"3,17,691","12,836","31,062"
60,1,102,-,832.8,32.8,75,828.1,847.4,75,"24,650.00",150,7.4,7.8,525,-2.65,7.3,15.09,"2,30,841","4,162","7,025"
488,-34,564,-,783,29.95,75,780.7,788.15,75,"24,700.00",75,8.6,8.95,"2,025",-2.85,8.5,14.77,"4,73,715","12,707","44,787"
137,-34,246,-,732.65,25.95,75,727.35,748.4,75,"24,750.00","1,125",9.55,10.4,825,-3.75,9.55,14.55,"3,11,912","4,861","9,906"
"1,287",-91,"1,714",-,685.7,30.95,75,684,690.65,75,"24,800.00",75,11.2,11.65,225,-4.55,11.1,13.99,"5,62,839","9,671","41,618"
94,-3,311,-,636.75,25.95,150,630.6,648.75,150,"24,850.00",750,13,13.6,900,-5.2,13,13.64,"2,63,809","5,381","9,549"
"1,108",-36,"2,598",-,590.85,27.05,375,589.1,596.1,75,"24,900.00",150,15.05,15.8,150,-6.35,15.35,13.34,"6,25,273","6,342","30,288"
223,21,"1,209",-,542.85,26.4,300,540.3,548.8,300,"24,950.00",225,17.9,18.6,"1,350",-7.45,18.6,13.12,"4,02,324","10,730","16,756"
"6,917",-50,"40,823",-,492.1,18.15,600,495.5,500,"4,275","25,000.00",150,21.35,21.55,150,-9.8,21,12.72,"16,20,689","10,842","83,221"
281,21,"4,499",-,451.2,23.25,300,449.1,453.6,150,"25,050.00",300,25.35,25.75,750,-12.65,25.15,12.49,"5,01,437","8,128","15,631"
"2,432",390,"33,406",-,404.15,15.8,150,406.15,409.4,150,"25,100.00",600,30.2,30.55,300,-15.65,30.1,12.1,"9,96,929","22,921","49,846"
954,416,"20,277",7.43,365.65,17,150,361.5,366.15,300,"25,150.00",300,37.1,37.3,150,-18.5,36.8,11.93,"6,46,230","13,017","24,450"
"7,346","1,427","1,67,743",7.98,323.65,14.7,150,319.3,323.3,75,"25,200.00",150,45.45,45.75,150,-21.7,45.2,11.79,"13,66,644","40,026","69,148"
"2,069",948,"1,09,733",7.78,278.7,5.15,225,281.1,284.65,300,"25,250.00",150,55.5,56.05,150,-25,55.6,11.69,"9,72,570","8,797","21,196"
"12,516","3,760","6,98,921",8.5,247,7.55,150,244.65,245.9,450,"25,300.00",375,68.1,69,300,-29.35,67.45,11.6,"20,87,489","28,211","59,149"
"11,710","7,997","9,46,704",8.76,213,4.4,750,210.75,212.2,150,"25,350.00",150,84.05,84.8,300,-32.15,83.35,11.64,"17,30,068","21,405","29,171"
"51,753","20,437","27,45,054",8.96,178.85,-0.75,225,178.85,180.6,450,"25,400.00",150,101.05,101.6,300,-35.1,101.2,11.49,"32,83,637","24,332","65,289"
"28,238","13,469","16,73,029",9.13,150.5,-2.85,150,150.45,151.55,150,"25,450.00","1,275",122,122.8,450,-37.5,122.8,11.56,"12,61,697","17,509","28,845"
"93,680","9,040","23,40,871",9.23,126.35,-3.65,"1,725",124.6,125.45,300,"25,500.00",450,147.25,148.1,300,-39.7,147.15,11.77,"11,68,060","-3,482","56,829"
"28,409","6,559","9,67,977",9.41,103.1,-5.9,600,103.2,103.7,75,"25,550.00",300,175.25,176.4,150,-39.95,175.8,11.81,"1,84,726","-1,363","10,198"
"70,777","11,843","15,85,336",9.58,84.9,-5.95,300,84.15,84.85,150,"25,600.00",450,205.15,206.9,225,-42.95,204.5,11.97,"2,50,234","-3,530","17,598"
"23,302","3,688","6,82,641",9.65,68.1,-6.7,75,68,68.4,450,"25,650.00",150,240.05,241.5,300,-43.45,238.55,12.25,"34,827",-102,"3,517"
"81,012","22,814","12,57,178",9.79,54.75,-6.25,300,54.15,54.75,300,"25,700.00",75,276.5,277.4,300,-42.55,275,12.8,"76,668","-1,152","6,156"
"25,682","7,376","6,34,262",9.9,43.35,-6.1,600,43.5,43.85,150,"25,750.00",300,314.75,316.65,150,-40.05,315.6,12.76,"7,824",9,"1,689"
"63,243","17,999","12,26,981",10.01,34,-6,150,34.1,34.6,150,"25,800.00",150,354.4,356.45,75,-39.55,356.45,13.51,"26,102",-148,"4,968"
